날짜,품번,품목군,품목,코업,포승,포승이고,청호,한라,진성,청호이고,해드림,그린써브케이탑,본사,직송,재고합계,당월출고수량,직전출고수량,일일소비량,7일활동소비량,7일실질소비량,안전재고,상태,최소재고,최대재고,긴급발생횟수,긴급발생비율,재고_커버리지,소비_급증률,유형_분류,위험점수,위험등급
2026. 1. 29,21332,a. 이스트,리벤도 비디100 500g,26.00,,,,,,,,,1.40,,27.40,1.00,0,1.00,0.00,0.14,0.00,정상,20.00,26.00,1,2.63%,182.00,0.00%,여유재고,0.80,여유
2026. 1. 29,21311,a. 이스트,엔젤 인스턴트이스트-고당 500g,90.50,"1,000.00",,,,,,,,,,"1,090.50",347.85,0,347.85,0.00,49.69,0.00,정상,82.35,275.15,1,2.63%,1.82,0.00%,즉시보충,27.98,여유
2026. 1. 29,21312,a. 이스트,엔젤 인스턴트이스트-저당 500g,132.20,"1,600.00",100.00,,,,,,,,,"1,732.20",618.95,0,618.95,0.00,88.42,0.00,정상,91.05,326.80,3,7.89%,1.50,0.00%,즉시보충,35.02,여유
2026. 1. 29,21313,a. 이스트,엔젤 인스턴트이스트-저당 10kg,210.00,"2,000.00",,,,,,,,,,"2,210.00",201.00,0,201.00,0.00,28.71,0.00,정상,90.00,290.00,1,2.63%,7.31,0.00%,여유재고,7.36,여유
2026. 1. 29,21322,a. 이스트,엔젤 와인이스트 500g,0.00,,,,,,,,,6.25,,6.25,1.00,0,1.00,0.00,0.14,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,21318,b. 엑기스,엔젤 이스트엑기스분말,105.00,710.00,,,,,,,,,,815.00,71.00,0,71.00,0.00,10.14,0.00,정상,46.00,105.00,21,55.26%,10.35,0.00%,여유재고,15.88,여유
2026. 1. 29,10605,b. 엑기스(제조),불활성건조효모,47.00,389.00,,,,,,,,,,436.00,112.80,0,112.80,0.00,16.11,0.00,정상,22.00,47.00,1,2.63%,2.92,0.00%,여유재고,17.67,여유
2026. 1. 29,21228,b. 엑기스,스프링거 우마미 AA,28.00,,,,,,,,,,,28.00,1.00,0,1.00,0.00,0.14,0.00,정상,14.00,28.00,1,2.63%,196.00,0.00%,여유재고,0.78,여유
2026. 1. 29,21020,c. 베이커리믹스,강력분 밀가루 20kg,544.00,,,264.00,,,,,,,,808.00,499.00,0,499.00,0.00,71.29,0.00,정상,104.00,912.00,2,5.26%,7.63,0.00%,여유재고,7.60,여유
2026. 1. 29,21021,c. 베이커리믹스,박력분 밀가루 20kg,311.00,,,,,,,,,,,311.00,254.00,0,254.00,0.00,36.29,0.00,정상,82.00,387.00,1,2.63%,8.57,0.00%,여유재고,6.36,여유
2026. 1. 29,21023,c. 베이커리믹스,트레일블레이저 밀가루 22.68kg,393.00,,,715.00,,,,,,,,"1,108.00",260.00,0,260.00,0.00,37.14,0.00,정상,98.00,428.00,1,2.63%,10.58,0.00%,여유재고,5.25,여유
2026. 1. 29,21601,c. 베이커리믹스,베이킹파우더 300g,306.86,,,,,,,,17.00,,,323.86,508.16,0,508.16,0.00,72.59,0.00,정상,275.86,536.88,1,2.63%,4.23,0.00%,여유재고,12.35,여유
2026. 1. 29,21600,c. 베이커리믹스,베이킹파우더 20kg,285.00,,,,,,,,,,,285.00,810.00,0,810.00,0.00,115.71,0.00,정상,254.00,582.00,1,2.63%,2.46,0.00%,여유재고,20.83,여유
2026. 1. 29,21604,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 300g,464.38,,,,,,,,0.50,,,464.88,934.00,0,934.00,0.00,133.43,0.00,정상,358.38,967.38,1,2.63%,3.48,0.00%,여유재고,14.89,여유
2026. 1. 29,21603,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 20kg,307.00,,,,,,,,,,,307.00,190.00,0,190.00,0.00,27.14,0.00,정상,119.00,425.00,1,2.63%,11.31,0.00%,여유재고,4.95,여유
2026. 1. 29,21609,c. 베이커리믹스,베이킹파우더 플러스 20kg,124.00,,,,,,,,,,,124.00,401.00,0,401.00,0.00,57.29,0.00,정상,124.00,373.00,1,2.63%,2.16,0.00%,여유재고,23.63,여유
2026. 1. 29,21606,c. 베이커리믹스,베이킹파우더 A-300 20kg,0.00,,,,,,,,,,,0.00,100.00,0,100.00,0.00,14.29,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,21635,c. 베이커리믹스,S-2000 500g,110.91,,,,,,,,,,,110.91,101.03,0,101.03,0.00,14.43,0.00,정상,36.91,115.91,1,2.63%,7.68,0.00%,여유재고,7.03,여유
2026. 1. 29,21636,c. 베이커리믹스,S-2000 10kg,159.00,,,,,,,,,,,159.00,78.00,0,78.00,0.00,11.14,0.00,정상,23.00,182.00,1,2.63%,14.27,0.00%,여유재고,4.03,여유
2026. 1. 29,21634,c. 베이커리믹스,S-2000 (GOLD) 500g,101.76,,,,,,,,,,,101.76,166.00,0,166.00,0.00,23.71,0.00,정상,42.76,128.76,1,2.63%,4.29,0.00%,여유재고,12.18,여유
2026. 1. 29,21633,c. 베이커리믹스,S-2000 (GOLD) 10kg,159.00,,,,,,,,,,,159.00,106.00,0,106.00,0.00,15.14,0.00,정상,93.00,200.00,1,2.63%,10.50,0.00%,여유재고,5.29,여유
2026. 1. 29,21655,c. 베이커리믹스,이스트후드 20kg,35.00,,,,,,,,,,,35.00,40.00,0,40.00,0.00,5.71,0.00,정상,31.00,82.00,1,2.63%,6.13,0.00%,여유재고,8.69,여유
2026. 1. 29,21685,c. 베이커리믹스,크라프트 플러스 (2) 3kg,200.80,,,,,,,,,,,200.80,104.00,0,104.00,0.00,14.86,0.00,정상,88.80,430.80,1,2.63%,13.52,0.00%,여유재고,4.23,여유
2026. 1. 29,24026,c. 베이커리믹스,슐로스브로트 25kg,0.00,185.00,,,,,,,,,,185.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 1. 29,21133,d. 유제품,"골드라벨 휘핑크림 오리지날 1,030g*12ea",89.50,,,,,,,,,,,89.50,647.00,0,647.00,0.00,92.43,0.00,정상,58.92,140.92,32,84.21%,0.97,0.00%,즉시보충,68.48,주의
2026. 1. 29,21134,d. 유제품,"골드라벨 휘핑크림 무향 1,030g*12ea",36.33,,,,,,,,,,,36.33,66.00,0,66.00,0.00,9.43,0.00,정상,18.00,53.00,1,2.63%,3.85,0.00%,여유재고,13.50,여유
2026. 1. 29,21121,d. 유제품,골드라벨 휘핑크림 밀크향 (NEW),37.00,,,,,,,,,,,37.00,31.00,0,31.00,0.00,4.43,0.00,정상,10.00,37.00,1,2.63%,8.35,0.00%,여유재고,6.51,여유
2026. 1. 29,21127,d. 유제품,RPC 프로패셔널 휘핑크림,0.00,,,,,,,,,,,0.00,26.00,0,26.00,0.00,3.71,0.00,긴급,2.00,12.00,31,81.58%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,21132,d. 유제품,RPC 데어리블랜드 쿠킹크림,24.00,,,,,,,,,,,24.00,71.00,0,71.00,0.00,10.14,0.00,정상,11.00,33.00,23,60.53%,2.37,0.00%,여유재고,33.24,여유
2026. 1. 29,21135,d. 유제품,제니코식품/리치 쿠킹 크림 1L*12ea,0.00,,,,,,,,,,,0.00,2.00,0,2.00,0.00,0.29,0.00,긴급,1.00,1.00,16,42.11%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,21122,d. 유제품,푸어앤휩 (레드) 휘핑크림,16.00,,,,,,,,,,,16.00,24.00,0,24.00,0.00,3.43,0.00,정상,2.00,23.00,6,15.79%,4.67,0.00%,여유재고,13.87,여유
2026. 1. 29,21120,d. 유제품,온탑 휘핑크림,65.00,,,,,,,,,,,65.00,174.00,0,174.00,0.00,24.86,0.00,정상,5.00,140.00,7,18.42%,2.61,0.00%,여유재고,22.81,여유
2026. 1. 29,21110,d. 유제품,베르사띠 휘핑크림 1L,11.00,,,,,,,,,,,11.00,26.00,0,26.00,0.00,3.71,0.00,정상,6.00,16.00,1,2.63%,2.96,0.00%,여유재고,17.41,여유
2026. 1. 29,21117,d. 유제품,AERO TOP 휘핑크림,12.00,,,,,,,,,,,12.00,34.00,0,34.00,0.00,4.86,0.00,정상,2.00,27.00,12,31.58%,2.47,0.00%,여유재고,26.55,여유
2026. 1. 29,21126,d. 유제품,달럽 프라이드 휘핑크림,29.00,,,,,,,,,,,29.00,0.00,0,0.00,0.00,0.00,0.00,정상,9.00,29.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 1. 29,23045,d. 유제품,비앙카 골드 크림치즈 1.36kg,650.50,,,,374.00,,,,,,,"1,024.50","1,077.10",0,"1,077.10",0.00,153.87,0.00,정상,279.40,945.40,1,2.63%,4.23,0.00%,여유재고,12.35,여유
2026. 1. 29,23016,d. 유제품,비앙카 골드 크림치즈 벌크 13.6kg,805.00,,,,822.00,,,,,,,"1,627.00","2,066.00",0,"2,066.00",0.00,295.14,0.00,정상,345.00,"1,902.00",1,2.63%,2.73,0.00%,여유재고,18.86,여유
2026. 1. 29,23126,d. 유제품,헤리티지 크림치즈 1.36kg,190.00,,,315.00,,,,,2.40,,,507.40,289.90,0,289.90,0.00,41.41,0.00,정상,94.00,477.90,1,2.63%,4.59,0.00%,여유재고,11.42,여유
2026. 1. 29,23015,d. 유제품,헤리티지 벌크 크림치즈 13.6kg,238.00,,,670.00,,,,,,,,908.00,289.00,0,289.00,0.00,41.29,0.00,정상,165.00,386.00,1,2.63%,5.76,0.00%,여유재고,9.20,여유
2026. 1. 29,22992,d. 유제품,워남불 크림치즈 2kg (썬골드),66.00,,,,,,,,,,,66.00,244.00,0,244.00,0.00,34.86,0.00,정상,9.83,66.00,35,92.11%,1.89,0.00%,즉시보충,44.83,여유
2026. 1. 29,22991,d. 유제품,워남불 크림치즈 10kg,723.00,,,,"4,032.00",,,,,,,"4,755.00","2,019.00",0,"2,019.00",0.00,288.43,0.00,정상,286.00,"1,860.00",2,5.26%,2.51,0.00%,여유재고,21.00,여유
2026. 1. 29,23012,d. 유제품,폴리 크림치즈 1.36kg,646.40,,,745.00,504.00,,,,,,,"1,895.40",960.70,0,960.70,0.00,137.24,0.00,정상,338.40,"1,129.90",1,2.63%,4.71,0.00%,여유재고,11.14,여유
2026. 1. 29,23014,d. 유제품,폴리 크림치즈 벌크 13.6kg,278.00,,,,,,,,,,,278.00,519.00,0,519.00,0.00,74.14,0.00,정상,7.00,850.00,7,18.42%,3.75,0.00%,여유재고,17.02,여유
2026. 1. 29,24003,d. 유제품,폴리 컵포션치즈 28g,121.87,,,432.00,,,288.00,,14.00,,,567.87,436.40,0,436.40,0.00,62.34,0.00,정상,30.47,408.87,3,7.89%,1.95,0.00%,즉시보충,27.16,여유
2026. 1. 29,23954,d. 유제품,라스카스 크림치즈 1.36kg,710.80,,,"2,020.00",,,189.00,,,,,"2,730.80","1,038.10",0,"1,038.10",0.00,148.30,0.00,정상,264.70,923.70,1,2.63%,4.79,0.00%,여유재고,10.96,여유
2026. 1. 29,24081,d. 유제품,뉴샤텔 크림치즈 벌크 13.6kg,469.00,,,"1,540.00",,,,,,,,"2,009.00",835.00,0,835.00,0.00,119.29,0.00,정상,126.00,780.00,2,5.26%,3.93,0.00%,여유재고,13.77,여유
2026. 1. 29,23996,d. 유제품,제니코 까망베르 크림치즈 1kg,55.90,,,,,,,,,,,55.90,37.00,0,37.00,0.00,5.29,0.00,정상,31.60,75.50,1,2.63%,10.58,0.00%,여유재고,5.25,여유
2026. 1. 29,24083,d. 유제품,슈라이버 슬라이스 치즈 120P,"1,193.00",,,"4,269.00",,,,,6.00,,,"5,468.00","1,767.25",0,"1,767.25",0.00,252.46,0.00,정상,364.25,"1,196.50",1,2.63%,4.73,0.00%,여유재고,11.11,여유
2026. 1. 29,24082,d. 유제품,슈라이버 슬라이스 치즈 184P,642.25,,,"1,793.00",,,360.00,,15.00,,,"2,450.25","1,689.00",0,"1,689.00",0.00,241.29,0.00,정상,245.75,985.00,4,10.53%,2.66,0.00%,여유재고,20.89,여유
2026. 1. 29,24084,d. 유제품,슈라이버 스위스 슬라이스 치즈 120P,366.75,,,798.00,,,198.00,,15.00,,,"1,179.75",440.25,0,440.25,0.00,62.89,0.00,정상,127.50,537.25,1,2.63%,5.83,0.00%,여유재고,9.10,여유
2026. 1. 29,24091,d. 유제품,슈라이버 컵포션 21g,185.20,,,288.00,,,144.00,,40.00,,,513.20,179.40,0,179.40,0.00,25.63,0.00,정상,131.00,329.20,1,2.63%,7.23,0.00%,여유재고,7.45,여유
2026. 1. 29,23939,d. 유제품,마스카포네 (엘다) 500g,53.83,,,,,,,,,,,53.83,127.17,0,127.17,0.00,18.17,0.00,정상,4.00,74.33,17,44.74%,2.96,0.00%,여유재고,25.82,여유
2026. 1. 29,23017,d. 유제품,체다 다이스치즈 2.27kg,39.50,798.00,,,,,,,,,,837.50,165.00,0,165.00,0.00,23.57,0.00,정상,19.00,401.25,3,7.89%,1.68,0.00%,즉시보충,31.42,여유
2026. 1. 29,23019,d. 유제품,고다 다이스치즈 2.27kg,64.75,69.00,,,,,,,,,,133.75,28.25,0,28.25,0.00,4.04,0.00,정상,25.25,94.25,1,2.63%,16.04,0.00%,여유재고,3.64,여유
2026. 1. 29,23020,d. 유제품,몬테레이잭 다이스치즈 2.27kg,98.50,138.00,,,,,,,,,,236.50,29.75,0,29.75,0.00,4.25,0.00,정상,44.25,113.25,1,2.63%,23.18,0.00%,여유재고,2.68,여유
2026. 1. 29,26002,d. 유제품,크로아상 버터 플레이트 2kg,80.80,,,400.00,,,,,,,,480.80,186.80,0,186.80,0.00,26.69,0.00,정상,33.80,430.60,1,2.63%,3.03,0.00%,여유재고,17.04,여유
2026. 1. 29,25015,d. 유제품,시앤오 데어리브랜드 (버터 79%),133.00,200.00,,,,,,,,,,333.00,112.00,0,112.00,0.00,16.00,0.00,정상,13.00,613.00,1,2.63%,8.31,0.00%,여유재고,6.54,여유
2026. 1. 29,25025,d. 유제품,UDA버터 (미국산) 25kg,467.00,,,"1,597.00",,,,,,,,"2,064.00",651.00,0,651.00,0.00,93.00,0.00,정상,12.00,659.00,3,7.89%,5.02,0.00%,여유재고,11.54,여유
2026. 1. 29,26016,d. 유제품,락틱 컴파운드 버터 12.5kg,114.00,"1,916.00",,,,,,,,,,"2,030.00",246.00,0,246.00,0.00,35.14,0.00,정상,16.00,315.00,2,5.26%,3.24,0.00%,여유재고,16.47,여유
2026. 1. 29,25026,d. 유제품,HDM 락틱 버터25KG,138.00,190.00,,,,,,,,,,328.00,61.00,0,61.00,0.00,8.71,0.00,정상,71.00,255.00,1,2.63%,15.84,0.00%,여유재고,3.68,여유
2026. 1. 29,25018,d. 유제품,UELZENA 마르켄 버터 10kg,487.00,"2,400.00",,,"3,396.00",,,,,,,"6,283.00","2,305.00",0,"2,305.00",0.00,329.29,0.00,정상,119.00,"1,338.00",6,15.79%,1.48,0.00%,즉시보충,36.97,여유
2026. 1. 29,26006,d. 유제품,UELZENA 마르켄 스틱버터 2.5kg,0.00,573.00,,"1,760.00",,,,,,,,"2,333.00",800.00,0,800.00,0.00,114.29,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,26010,d. 유제품,UELZENA 마르켄 포션버터 10g*200ea,266.00,360.00,,,,,,,4.00,,,630.00,93.10,0,93.10,0.00,13.30,0.00,정상,87.00,447.00,1,2.63%,20.00,0.00%,여유재고,3.03,여유
2026. 1. 29,24986,d. 유제품,발렌타인 포션버터 7g,0.00,,,,,,,,,,,0.00,4.00,0,4.00,0.00,0.57,0.00,긴급,2.00,2.00,29,76.32%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,24987,d. 유제품,발렌타인 포션버터 10g,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 1. 29,24094,d. 유제품,SD 컴퍼니 모짜렐라 치즈 2.5kg*4ea,0.00,,,,,,,,,,,0.00,200.00,0,200.00,0.00,28.57,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,23144,d. 유제품,제니코 에멘탈 프라임 골드 1KG,2.63,,,,,,,,,,,2.63,78.00,0,78.00,0.00,11.14,0.00,정상,2.63,125.88,2,5.26%,0.24,0.00%,즉시보충,213.30,즉시처리
2026. 1. 29,23124,d. 유제품,팬시 파마산 슈레드치즈 907g,169.58,,,313.00,,,,,,,,482.58,216.50,0,216.50,0.00,30.93,0.00,정상,22.58,197.50,3,7.89%,5.48,0.00%,여유재고,10.70,여유
2026. 1. 29,23141,d. 유제품,콜비잭 슈레드 치즈,0.00,,,,,,,,,,,0.00,2.13,0,2.13,0.00,0.30,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,24096,d. 유제품,콜비잭치즈 슬라이스(21g),0.00,,,,,,,,,,,0.00,387.50,0,387.50,0.00,55.36,0.00,긴급,2.00,320.00,25,65.79%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,23103,d. 유제품,제니코 피자치즈 N50 2.5kg,80.00,,,,,,,,,,,80.00,161.00,0,161.00,0.00,23.00,0.00,정상,50.00,247.00,1,2.63%,3.48,0.00%,여유재고,14.90,여유
2026. 1. 29,23104,d. 유제품,제니코 피자토핑프라임 2.5kg,16.00,,,,,,,,,,,16.00,33.00,0,33.00,0.00,4.71,0.00,정상,16.00,87.75,1,2.63%,3.39,0.00%,여유재고,15.26,여유
2026. 1. 29,23112,d. 유제품,제니코 모짜체다 슈레드 치즈 2.5kg,108.00,,,,,,,,,,,108.00,85.00,0,85.00,0.00,12.14,0.00,정상,28.00,128.00,1,2.63%,8.89,0.00%,여유재고,6.15,여유
2026. 1. 29,23145,d. 유제품,옐로우 슈레드 치즈 2.5kg (냉장),0.00,,,,,,,,,,,0.00,407.00,0,407.00,0.00,58.14,0.00,긴급,30.00,150.00,9,23.68%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,23118,d. 유제품,제니코 모짜 슬라이스(냉동) 18g 1kg*3ea,70.67,,,,,,,,,,,70.67,641.00,0,641.00,0.00,91.57,0.00,정상,0.67,373.00,16,42.11%,0.77,0.00%,즉시보충,73.21,주의
2026. 1. 29,23100,d. 유제품,제니코 모짜프라임 골드 2.5kg,"1,576.75",,,,,,,,,,,"1,576.75","2,086.00",0,"2,086.00",0.00,298.00,0.00,정상,235.00,"1,727.75",7,18.42%,5.29,0.00%,여유재고,13.13,여유
2026. 1. 29,23101,d. 유제품,제니코 모짜프라임 500 2.5kg,231.25,,,,,,,,,,,231.25,237.00,0,237.00,0.00,33.86,0.00,정상,104.00,339.00,1,2.63%,6.83,0.00%,여유재고,7.85,여유
2026. 1. 29,23120,d. 유제품,프리미엄 모짜렐라 (냉장) 2.5kg,24.00,,,,,,,,,,,24.00,495.00,0,495.00,0.00,70.71,0.00,정상,6.00,221.00,6,15.79%,0.34,0.00%,즉시보충,150.48,우선처리
2026. 1. 29,23134,d. 유제품,제니코 피자치즈 냉장 (독일산) 2.5kg,100.50,,,,,,,,,,,100.50,200.50,0,200.50,0.00,28.64,0.00,정상,89.50,194.50,10,26.32%,3.51,0.00%,여유재고,19.51,여유
2026. 1. 29,23129,d. 유제품,모짜렐라치즈 오리지날 2.5kg,5.00,,,,,,,,,,,5.00,141.00,0,141.00,0.00,20.14,0.00,정상,5.00,161.00,5,13.16%,0.25,0.00%,즉시보충,204.06,즉시처리
2026. 1. 29,23140,d. 유제품,사푸토 모짜 2.77kg*8ea,28.75,189.00,,,,,,,,,,217.75,80.00,0,80.00,0.00,11.43,0.00,정상,12.75,81.75,3,7.89%,2.52,0.00%,여유재고,21.45,여유
2026. 1. 29,23143,d. 유제품,칼라 체다 프라임 골드 2.5kg,17.50,,,,,,,,,,,17.50,293.25,0,293.25,0.00,41.89,0.00,정상,6.50,279.75,9,23.68%,0.42,0.00%,즉시보충,124.43,우선처리
2026. 1. 29,23131,d. 유제품,제니코 모짜렐라 점보치즈스틱 2kg,45.00,,,,,,,,,,,45.00,35.00,0,35.00,0.00,5.00,0.00,정상,32.00,100.00,3,7.89%,9.00,0.00%,여유재고,7.13,여유
2026. 1. 29,23123,d. 유제품,아리바 슈프림 모짜렐라 1kg,68.00,,,,,,,,,,,68.00,40.00,0,40.00,0.00,5.71,0.00,정상,18.00,118.00,1,2.63%,11.90,0.00%,여유재고,4.73,여유
2026. 1. 29,23132,d. 유제품,아리바 베이커리롤치즈 1kg,0.00,,,,,,,,,,,0.00,105.00,0,105.00,0.00,15.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,23142,d. 유제품,비앙카 체다 슬라이스 2kg,0.00,,,,,,,,,,,0.00,250.00,0,250.00,0.00,35.71,0.00,긴급,124.50,125.00,21,55.26%,0.00,0.00%,즉시보충,0.00,여유
2026. 1. 29,23968,d. 유제품,체다 슬라이스 100P 1.8kg,153.75,,,,,,,,,,,153.75,260.00,0,260.00,0.00,37.14,0.00,정상,96.25,280.00,1,2.63%,4.14,0.00%,여유재고,12.61,여유
2026. 1. 29,23962,d. 유제품,베이커리 슬라이스 치즈 1.8kg,19.75,,,,,,,,,,,19.75,219.00,0,219.00,0.00,31.29,0.00,정상,0.50,142.75,10,26.32%,0.63,0.00%,즉시보충,84.47,주의
2026. 1. 29,24090,d. 유제품,엠보그 버거 슬라이스 (화이트) 84P,2.00,,,,,,,,,,,2.00,14.00,0,14.00,0.00,2.00,0.00,정상,2.00,2.00,37,97.37%,1.00,0.00%,즉시보충,69.47,주의
2026. 1. 29,20551,e. 가공식품,제니코 켄터키후랑크 1kg,150.20,,,,,,,,,,,150.20,485.10,0,485.10,0.00,69.30,0.00,정상,10.20,155.20,18,47.37%,2.17,0.00%,여유재고,32.54,여유
2026. 1. 29,22175,e. 가공식품,오징어먹물 색소 500g,645.83,,,,,,,,,,,645.83,144.00,0,144.00,0.00,20.57,0.00,정상,384.00,645.83,1,2.63%,31.39,0.00%,여유재고,2.12,여유
2026. 1. 29,20905,e. 가공식품,마리네이티드 세그먼트 토마토 (1/4컷) 1kg,86.50,,,,,,,,,,,86.50,189.20,0,189.20,0.00,27.03,0.00,정상,1.00,218.00,7,18.42%,3.20,0.00%,여유재고,19.31,여유
2026. 1. 29,20906,e. 가공식품,마리네이티드 체리 토마토 (하프컷) 1kg,106.70,,,,,,,2.00,,,,108.70,96.10,0,96.10,0.00,13.73,0.00,정상,8.70,207.70,6,15.79%,7.77,0.00%,여유재고,9.59,여유
2026. 1. 29,20907,e. 가공식품,냉동 블루베리 1kg,161.80,,,,,,,,,,,161.80,128.00,0,128.00,0.00,18.29,0.00,정상,34.80,224.80,1,2.63%,8.85,0.00%,여유재고,6.18,여유
2026. 1. 29,21515,e. 가공식품,바닐라빈 250g,0.00,,,,,,,,,33.00,,33.00,13.00,0,13.00,0.00,1.86,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
